symbol,direction,confidence,raw_confidence,entry_date,entry_price,exit_date,exit_price,stop_loss,target,pnl_pct,exit_reason
TCS,SELL,0.7835,0.9632,2025-11-28 00:00:00+05:30,3040.26,2025-12-03 00:00:00+05:30,3094.36,3094.36,2905.0,-1.78,stop_loss
TCS,SELL,0.7033,0.9054,2025-12-04 00:00:00+05:30,3129.12,2025-12-10 00:00:00+05:30,3090.36,3183.22,2993.86,1.239,end_of_period
TCS,SELL,0.6179,0.838,2026-01-27 00:00:00+05:30,3115.75,2026-01-28 00:00:00+05:30,3161.44,3161.44,3001.53,-1.466,stop_loss
TCS,SELL,0.5174,0.6902,2026-01-30 00:00:00+05:30,3082.11,2026-02-02 00:00:00+05:30,3127.8,3127.8,2967.89,-1.482,stop_loss
TCS,SELL,0.7065,0.92,2026-02-03 00:00:00+05:30,3182.15,2026-02-04 00:00:00+05:30,3067.93,3227.84,3067.93,3.589,target
TCS,SELL,0.5637,0.7541,2026-02-06 00:00:00+05:30,2902.25,2026-02-10 00:00:00+05:30,2947.94,2947.94,2788.03,-1.574,stop_loss
TCS,SELL,0.5948,0.7816,2026-02-12 00:00:00+05:30,2713.31,2026-02-13 00:00:00+05:30,2599.09,2759.0,2599.09,4.21,target
TCS,BUY,0.7718,0.953,2026-02-17 00:00:00+05:30,2681.05,2026-02-18 00:00:00+05:30,2635.36,2635.36,2795.27,-1.704,stop_loss
TCS,BUY,0.7996,0.9691,2026-02-19 00:00:00+05:30,2642.08,2026-02-24 00:00:00+05:30,2596.39,2596.39,2756.3,-1.729,stop_loss
TCS,BUY,0.8141,0.9745,2026-02-25 00:00:00+05:30,2594.13,2026-03-02 00:00:00+05:30,2548.44,2548.44,2708.35,-1.761,stop_loss
TCS,BUY,0.5875,0.7986,2026-03-04 00:00:00+05:30,2553.18,2026-03-09 00:00:00+05:30,2507.49,2507.49,2667.4,-1.789,stop_loss
TCS,BUY,0.8916,0.9924,2026-03-10 00:00:00+05:30,2479.48,2026-03-11 00:00:00+05:30,2433.79,2433.79,2593.7,-1.843,stop_loss
TCS,BUY,0.547,0.7412,2026-03-12 00:00:00+05:30,2409.73,2026-03-12 00:00:00+05:30,2409.73,2364.04,2523.95,0.0,end_of_period
HDFCBANK,BUY,0.6513,0.8717,2025-07-24 00:00:00+05:30,1004.6,2025-07-31 00:00:00+05:30,1009.1,991.32,1037.8,0.448,max_hold
HDFCBANK,BUY,0.6793,0.8941,2025-08-04 00:00:00+05:30,996.0,2025-08-11 00:00:00+05:30,997.8,982.72,1029.2,0.181,max_hold
HDFCBANK,BUY,0.665,0.862,2025-08-12 00:00:00+05:30,984.95,2025-08-19 00:00:00+05:30,995.55,971.67,1018.15,1.076,max_hold
HDFCBANK,BUY,0.7251,0.9299,2025-08-20 00:00:00+05:30,994.1,2025-08-22 00:00:00+05:30,980.82,980.82,1027.3,-1.336,stop_loss
HDFCBANK,BUY,0.8892,0.9923,2025-08-25 00:00:00+05:30,982.05,2025-08-26 00:00:00+05:30,968.77,968.77,1015.25,-1.352,stop_loss
HDFCBANK,BUY,0.5693,0.7772,2025-08-28 00:00:00+05:30,957.8,2025-09-02 00:00:00+05:30,944.52,944.52,991.0,-1.387,stop_loss
HDFCBANK,SELL,0.5461,0.7246,2025-09-03 00:00:00+05:30,954.45,2025-09-08 00:00:00+05:30,967.73,967.73,921.25,-1.392,stop_loss
HDFCBANK,BUY,0.6489,0.8678,2025-09-09 00:00:00+05:30,965.15,2025-09-09 00:00:00+05:30,965.15,951.87,998.35,0.0,end_of_period
HDFCBANK,SELL,0.6707,0.8749,2025-10-23 00:00:00+05:30,1008.8,2025-10-30 00:00:00+05:30,998.15,1021.65,976.67,1.056,max_hold
HDFCBANK,SELL,0.6603,0.8825,2025-10-31 00:00:00+05:30,987.3,2025-11-07 00:00:00+05:30,982.3,1000.15,955.17,0.506,max_hold
HDFCBANK,BUY,0.6521,0.8713,2025-11-10 00:00:00+05:30,984.5,2025-11-17 00:00:00+05:30,996.55,971.65,1016.63,1.224,max_hold
HDFCBANK,BUY,0.8094,0.9727,2025-11-18 00:00:00+05:30,992.45,2025-11-25 00:00:00+05:30,989.8,979.6,1024.58,-0.267,max_hold
HDFCBANK,BUY,0.5418,0.7365,2025-11-26 00:00:00+05:30,1003.9,2025-12-02 00:00:00+05:30,991.05,991.05,1036.03,-1.28,stop_loss
HDFCBANK,BUY,0.687,0.9043,2025-12-04 00:00:00+05:30,997.2,2025-12-10 00:00:00+05:30,989.8,984.35,1029.33,-0.742,end_of_period
HDFCBANK,BUY,0.557,0.7345,2026-01-27 00:00:00+05:30,926.4,2026-02-02 00:00:00+05:30,911.43,911.43,963.82,-1.616,stop_loss
HDFCBANK,BUY,0.5251,0.6266,2026-02-10 00:00:00+05:30,932.4,2026-02-13 00:00:00+05:30,917.43,917.43,969.82,-1.605,stop_loss
HDFCBANK,BUY,0.711,0.9125,2026-02-16 00:00:00+05:30,925.8,2026-02-20 00:00:00+05:30,910.83,910.83,963.22,-1.617,stop_loss
HDFCBANK,BUY,0.595,0.7495,2026-02-23 00:00:00+05:30,923.6,2026-02-25 00:00:00+05:30,908.63,908.63,961.02,-1.621,stop_loss
HDFCBANK,SELL,0.5891,0.7867,2026-02-27 00:00:00+05:30,887.75,2026-03-04 00:00:00+05:30,850.33,902.72,850.33,4.215,target
HDFCBANK,BUY,0.6214,0.7957,2026-03-06 00:00:00+05:30,857.05,2026-03-09 00:00:00+05:30,842.08,842.08,894.47,-1.746,stop_loss
HDFCBANK,SELL,0.6815,0.8958,2026-03-10 00:00:00+05:30,849.45,2026-03-12 00:00:00+05:30,832.75,864.42,812.03,1.966,end_of_period
INFY,SELL,0.5722,0.7741,2025-07-22 00:00:00+05:30,1547.21,2025-07-28 00:00:00+05:30,1482.64,1573.04,1482.64,4.173,target
INFY,SELL,0.5065,0.5954,2025-07-29 00:00:00+05:30,1490.88,2025-08-05 00:00:00+05:30,1438.28,1516.7,1426.31,3.528,max_hold
INFY,SELL,0.6638,0.8858,2025-08-11 00:00:00+05:30,1406.67,2025-08-14 00:00:00+05:30,1432.49,1432.49,1342.09,-1.836,stop_loss
INFY,SELL,0.5556,0.704,2025-08-18 00:00:00+05:30,1414.15,2025-08-20 00:00:00+05:30,1439.98,1439.98,1349.58,-1.826,stop_loss
INFY,SELL,0.5195,0.6653,2025-08-21 00:00:00+05:30,1473.84,2025-08-25 00:00:00+05:30,1499.67,1499.67,1409.27,-1.752,stop_loss
